unit_id,dtime,fetch_time,bytes_total,bytes_sec
24734365,2021-01-12 03:50:42,3102243,4220754,1360549
24734365,2021-01-12 05:51:01,3243660,4219925,1300976
24734365,2021-01-12 09:50:42,2976172,4222303,1418702
24734365,2021-01-12 11:50:42,3350884,4223570,1260434
24734365,2021-01-12 19:51:12,3210277,4224263,1315856
24734365,2021-01-13 11:50:42,3159166,4225528,1337545
24734365,2021-01-13 13:50:41,3142770,4228228,1345382
24734365,2021-01-13 15:50:42,3180978,4366667,1372743
24734365,2021-01-13 17:50:47,3034547,4360505,1436954
24734365,2021-01-13 19:50:42,3135659,4359974,1390449
24734365,2021-01-13 21:50:41,3216574,4358686,1355070
24734365,2021-01-14 01:50:42,3037648,4220333,1389342
24734365,2021-01-14 03:50:42,3007761,4222439,1403847
24734365,2021-01-14 05:50:41,3246213,4222582,1300771
24734365,2021-01-14 07:52:01,2945172,4223626,1434084
24734365,2021-01-14 13:50:47,3298904,4229450,1282077
24734365,2021-01-14 15:50:41,3109418,4227985,1359735
24734365,2021-01-14 17:50:42,3468849,4226209,1218331
24734365,2021-01-14 19:50:40,3034686,4227010,1392898
24734365,2021-01-14 21:50:42,3024284,4225821,1397296
24734365,2021-01-14 23:50:41,3074268,4223861,1373940
24734365,2021-01-15 01:50:41,2940056,4223545,1436552
24734365,2021-01-15 03:50:41,2969128,4224466,1422796
24734365,2021-01-15 05:50:41,3479709,4226276,1214548
24734365,2021-01-15 07:51:11,3164391,4227437,1335940
24734365,2021-01-15 09:50:41,3409649,4226566,1239589
24734365,2021-01-15 13:50:41,3235278,4252767,1314498
24734365,2021-01-15 15:52:02,4008275,4252521,1060935
24734365,2021-01-15 17:50:42,3335519,4253493,1275211
24734365,2021-01-15 19:50:47,3032739,4251237,1401781
24734365,2021-01-15 21:50:41,3195689,4249134,1329645
24734365,2021-01-16 01:50:42,3107002,4248622,1367434
24734365,2021-01-16 09:51:07,2971649,4248496,1429676
24734365,2021-01-16 11:50:41,3279908,4249572,1295637
24734365,2021-01-16 13:50:41,3121873,4249078,1361066
24734365,2021-01-16 15:50:43,3260031,4248026,1303063
24734365,2021-01-16 17:50:42,3186672,4247989,1333048
24734365,2021-01-16 19:50:42,3151488,4247989,1347931
24734365,2021-01-16 21:50:51,6380138,4247989,665814
24734365,2021-01-17 07:51:56,2995768,4249064,1418355
24734365,2021-01-17 09:50:42,3273704,4248758,1297844
24734365,2021-01-17 11:50:42,2990966,4249020,1420617
24734365,2021-01-17 13:50:42,3360921,4249349,1264340
24734365,2021-01-17 15:51:56,3256485,4248178,1304528
24734365,2021-01-17 17:50:41,3065620,4248052,1385707
24734365,2021-01-17 19:50:42,3314481,4247653,1281543
24734365,2021-01-17 21:50:51,5648365,4247595,752004
24734365,2021-01-18 03:50:56,9706020,4249798,437851
24734365,2021-01-18 05:50:42,3051403,4249518,1392643
24734365,2021-01-18 07:50:41,3319967,4249974,1280125
24734365,2021-01-18 09:50:41,3099562,4252730,1372042
24734365,2021-01-18 11:50:41,3124760,4254571,1361567
24734365,2021-01-18 13:50:41,3039756,4252635,1399005
24734365,2021-01-18 17:50:53,4658736,4252794,912864
24734365,2021-01-18 21:50:41,2943240,4252266,1444756
24734365,2021-01-18 23:52:16,3056537,4252493,1391278
24734365,2021-01-19 01:50:41,3139308,4251869,1354396
24734365,2021-01-19 03:50:41,3164038,4252104,1343885
24734365,2021-01-19 05:50:41,3292134,4252154,1291610
24734365,2021-01-19 11:50:41,3382037,4254503,1257970
24734365,2021-01-19 13:50:41,2958145,4253398,1437859
24734365,2021-01-19 15:50:42,3345472,4256000,1272167
24734365,2021-01-19 17:51:12,3197325,4258626,1331934
24734365,2021-01-19 19:50:46,3035602,4255623,1401904
24734365,2021-01-19 21:50:42,3382338,4251379,1256934
24734365,2021-01-19 23:50:56,3334653,4250315,1274589
24734365,2021-01-20 01:50:41,3251241,4250595,1307376
24734365,2021-01-20 03:51:07,3240399,4250299,1311659
24734365,2021-01-20 05:50:42,3132094,4249963,1356907
24734365,2021-01-20 07:51:57,3134230,4251012,1356317
24734365,2021-01-20 09:50:42,3400995,4250230,1249701
24734365,2021-01-20 11:50:41,3189204,4386019,1375270
24734365,2021-01-20 13:50:51,6779007,4387267,647184
24734365,2021-01-20 15:50:52,3230828,4387789,1358100
24734365,2021-01-20 17:51:44,3458272,4391137,1269748
24734365,2021-01-20 19:50:40,3059465,4390445,1435036
24734365,2021-01-20 21:50:46,3079571,4390024,1425531
24734365,2021-01-20 23:50:52,3152420,4389396,1392389
24734365,2021-01-21 05:50:41,3074484,4249931,1382323
24734365,2021-01-21 07:50:41,3030919,4249662,1402103
24734365,2021-01-21 09:50:42,3120272,4248638,1361624
